refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere
ABAVIJ,OC(=O)c1ccncc1,Co,4.43864,2.4964,3.9804
ABAVOP,OC(=O)c1ccncc1,Co,3.53566,2.44164,3.51741
ABAYIM,OC(=O)c1nccnc1C(=O)O,Ag,1.2109,0.51751,1.2109
ABAYOS,OC(=O)c1nccnc1C(=O)O,Ag,1.45533,0.64478,1.45533
ABAYOU,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Co,11.27344,4.5108,11.27344
ABEMIF,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,11.25251,6.80253,11.25251
ABUWOJ,OC(=O)c1ccc(cc1)C(=O)O,Zn,3.23457,1.404,3.20514
ACAZEK,NCCN,Ag,1.67292,0.95578,1.29275
ACIBOE,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Zn,8.26184,7.04151,8.26184
ACICOH,OC(=O)c1ccncc1,Ni,5.23439,3.67775,5.17003
ACOBEC,OC(=O)c1ccc(cc1)C(=O)O,Sc,3.36484,2.64983,3.36484
ACUBOP,OC(=O)c1cccnc1,Cd,2.69745,1.73529,2.68119
AFOJIO,OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O,Gd,1.66787,1.01995,1.62588
AFORCD,OC=O,Cd,1.70202,1.00965,1.70202
AFOVAT,OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O,La,6.397,4.99848,6.31381
AGEGOL,O=C1C(=O)C(=O)C1=O,Ca,3.67071,1.04284,3.15977
AGEWUH,OC=O,Mn,4.5118,2.84268,4.5118
AGIREP,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Zn,10.94794,6.84992,7.97997
AGONAM,OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O,Cd,5.63222,4.90729,5.59904
AHETAK,OC(=O)c1ccncc1,Co,9.74824,6.48486,9.74824
AHIZOH,OC(=O)c1cc(N)cc(c1)N,Mn,1.85354,1.13507,1.84986
AJABIX01,CCc1[nH]nc(n1)CC,Cu,7.3501,1.58663,6.92152
AJIQIU,OC(=O)c1ccc(cc1)NNc1ccc(cc1)C(=O)O,Cd,1.69473,1.13596,1.66659
ALEQIT,OC(=O)c1ccc(cc1)C(=O)O,Tb,2.33632,1.40235,2.31142
ALUJEX,OC(=O)c1ccc(cc1)C(=O)O,La,4.21186,1.415,4.15505
AMIWID,OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O,Eu,3.32731,1.34926,3.32298
AMIYIG,OC=O,Fe,4.51764,1.94778,4.51764
AMIYOM,OC=O,Co,4.47228,1.85575,4.46624
AMIZAZ,OC=O,Ni,4.35273,1.88028,4.35273
AMIZAZ02,OC=O,Ni,4.37932,1.93256,4.37932
AMIZON,OC=O,Cu,4.35196,2.16454,4.35196
AMIZON01,OC=O,Cu,4.36611,2.19645,4.36611
AMOBEL,OC=O,Zn,4.50747,1.87299,4.48662
AMOBEL02,OC=O,Zn,4.47286,1.9558,3.8007
AMOMUM,OC=O,Fe,4.48601,1.88776,4.47037
AMONAT,OC=O,Fe,4.49937,1.9075,4.49937
AMURUX,OC=O,Mg,4.2686,2.1039,4.2686
AMURUX01,OC=O,Mg,4.33839,2.12858,4.33839
AMURUX02,OC=O,Mg,4.50321,2.0868,4.49477
AMURUX06,OC=O,Mg,4.29345,2.11487,4.29345
AMURUX07,OC=O,Mg,4.31356,2.11951,4.31356
AMURUX08,OC=O,Mg,4.35834,2.13069,4.26734
AMURUX09,OC=O,Mg,4.3827,2.13525,4.3827
AMURUX10,OC=O,Mg,4.50171,2.09369,4.3131
AMURUX11,OC=O,Mg,4.50712,2.10292,4.50642
ANUGEW,OC(=O)c1cc(cc(c1)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Cu,14.44193,10.20513,14.44193
APOGOD,OC=O,Fe,3.94813,1.94117,3.94813
AQEQES,OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O,Co,5.6853,5.37606,5.65305
ARAVAR,Sc1ccncc1,Cu,1.93082,1.04019,1.60237
ASUQIO03,Cc1[nH]nc(n1)C,Cu,1.98678,1.32868,1.98388
ATAFIK,OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O,Zn,4.00038,2.3529,3.99783
ATIBAG,OC=O,Mn,4.87542,3.8862,4.87542
ATIBIO,OC=O,Mn,4.93073,4.02236,4.93073
ATIBOU,OC=O,Mn,4.73785,3.95216,4.73724
ATIBOU01,OC=O,Mn,5.12425,4.02564,5.1081
ATIBOU02,OC=O,Mn,5.13844,4.03284,5.13064
ATIBUA,OC=O,Mn,4.9219,3.79511,4.91181
ATICAH,OC=O,Mn,5.23844,3.9755,5.22515
ATICEL,OC=O,Mn,4.92685,3.92515,4.92685
AVAQIX01,OC(=O)c1ccncc1,Cd,5.36267,2.11259,5.35204
AVELOD,n1ccc(cc1)/C=C/c1ccncc1,Cu,8.08398,4.97701,7.65673
AVEROJ,[nH]1cnnc1,Cd,7.0096,6.80884,7.0096
AVESIE,[nH]1cnnc1,Cd,4.24323,1.71033,4.06303
AVUCEA,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Co,6.42752,3.7088,6.42391
AWOFOI,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Ce,2.63931,0.91862,2.63931
AXIGAR,N#CNC#N,Co,6.09592,3.76413,5.92267
AYABEH,OC(=O)c1cccc(n1)C(=O)O,Nd,3.52648,1.2251,1.79997
AYONOT,OC=O,Cu,3.85407,2.02306,3.68634
AYOZIZ,OC(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Gd,10.6595,2.63807,10.03483
AZIMIH,OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O,Zn,4.50158,3.25724,4.48514
AZIYOX,OC(=O)CCCCC(=O)O,Nd,2.58206,1.02381,2.58206
BADHIA,OC(=O)c1ccc(cc1)C(=O)O,Sc,4.01973,3.00401,3.79822
BADHOG,OC(=O)c1ccc(cc1)C(=O)O,Sc,4.02045,2.99403,3.75019
BADHUM,OC(=O)c1ccc(cc1)C(=O)O,Sc,4.02685,2.97037,3.88239
BADHUM01,OC(=O)c1ccc(cc1)C(=O)O,Sc,3.74769,2.58193,3.73653
BADJAU,OC(=O)c1ccc(cc1)C(=O)O,Sc,4.09763,2.99488,3.84584
BADJIC,OC(=O)c1ccc(cc1)C(=O)O,Sc,4.21432,3.04448,3.7732
BADZAK,OC(=O)c1ccc(cc1)C(=O)O,Zn,7.13491,5.24025,7.05818
BAFHIC,OC(=O)c1ccc(c(c1)c1cccnc1)C(=O)O,Pb,3.22884,1.94833,3.02339
BAFHOI,OC(=O)c1ccc(c(c1)c1cccnc1)C(=O)O,Pb,2.8186,1.48765,2.77872
BAHGUN,OC(=O)c1ccncc1,Cu,4.28161,3.26617,4.24595
BAHGUN02,OC(=O)c1ccncc1,Cu,4.21378,3.2078,3.99831
BAKJEE,OC(=O)c1cc(cc(c1)c1ccncc1)C(=O)O,Co,6.3406,4.9542,6.31845
BAVYEF,OC(=O)c1ccc(cc1c1cccc(c1)C(=O)O)C(=O)O,Cd,2.40883,1.04926,2.40883
BAZFUF01,OC(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Cu,20.15207,7.86334,20.15207
BEDPAE,Nc1nccc(c1)C(=O)O,Co,6.36985,3.27907,6.36985
