Refcode;Metal;Density (kg/m3);ASA (m2/g);NASA (m2/g);linker SMILES;Largest Cavity Diameter;Pore Limiting Diameter;Largest Free Sphere
FEBXIV;Cu;0.30544;5201.91;0.0;OC(=O)c1ccc(cc1)c1cc2OP(=O)(O)Oc3c(c2c2c1cc(cc2)c1ccc(cc1)C(=O)O)c1ccc(cc1c(c3)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O;15.91065;15.63599;15.91065
FECWOB;Zn;1.57828;0.0;27.678;OC(=O)c1ccc(cc1)c1nnn[nH]1;4.23241;3.09319;4.23241
FECWOB01;Zn;1.57834;0.0;40.9208;OC(=O)c1ccc(cc1)c1nnn[nH]1;4.17085;3.04516;4.16284
FECXAO;La;1.12927;1080.6;22.2257;OC(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O;5.79143;4.59352;5.79024
FECXOC;Co;0.854054;1394.3;475.863;n1nnc([nH]1)c1cc(cc(c1)c1n[nH]nn1)c1nnn[nH]1;15.52972;6.35677;15.52972
FECXUI;Zn;0.959059;1740.64;0.0;OC(=O)c1ccc2c(c1)ccc(c2)C(=O)O;10.1127;5.67951;10.1127
FECYIX;Co;2.09038;0.0;0.0;OC(=O)[C@H]1SC[C@H](N1)C(=O)O;2.29094;2.08674;2.29094
FECYUJ;Zn;0.989838;1535.01;0.0;OC(=O)c1ccc2c(c1)ccc(c2)C(=O)O;9.54146;5.15384;8.40039
FEFRMT;Fe;2.05629;0.0;0.0;OC=O;1.82996;0.95533;1.79274
FEFRMT01;Fe;2.09233;0.0;0.0;OC=O;1.83391;0.96076;1.8301
FEFWOF;Tb;2.46679;0.0;0.0;OC(=O)c1ccc(s1)C(=O)O;2.75778;0.91939;2.75778
FEHCOM;Zn;0.954239;1485.46;0.0;OC(=O)c1ccc(cc1)c1c(C)n[nH]c1C;7.41637;6.7491;7.41637
FEHJIN;Zn;1.91414;0.0;0.0;OC(=O)c1ccc(cc1)CNCP(=O)(O)O;2.14142;1.20356;2.05991
FEHJIN01;Zn;1.91629;0.0;0.0;OC(=O)c1ccc(cc1)CNCP(=O)(O)O;2.128;1.21817;1.76904
FEJFAE;Mn;1.45626;0.0;136.848;OC(=O)c1ccncc1;4.2965;2.25377;4.2353
FEJHOS;In;2.16642;0.0;0.0;OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O;2.51067;1.14425;2.4998
FELXOM;Cd;1.88043;0.0;0.0;OC(=O)c1cc(c2ccc(cc2)C(=O)O)c(cc1C(=O)O)c1ccc(cc1)C(=O)O;2.64913;1.1011;2.63106
FELZOM;Zn;1.82429;0.0;0.0;c1cc(cc(c1)c1nnn[nH]1)c1nnn[nH]1;3.32724;1.85119;3.32688
FENHIS;Cd;0.897322;1858.8;0.0;OC(=O)c1ccc(cc1)c1cc(c2ccc(cc2)C(=O)O)c(cc1c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O;7.94768;4.99996;7.49
FENTEY;;2.4424;0.0;0.0;OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O;2.88458;1.72141;2.88089
FENVOL;Zn;1.13995;1663.92;0.0;OC(=O)c1cc(cc(c1)P(=O)(O)O)C(=O)O;6.69392;5.36459;6.68975
FEPGAL;Zn;0.815158;2275.9;0.0;OC(=O)c1ccc(cc1c1cccc(c1)c1cc(ccc1C(=O)O)C(=O)O)C(=O)O;8.87781;5.77115;8.87781
FEPGEP;Cd;0.943864;1887.63;0.0;OC(=O)c1ccc(cc1c1cccc(c1)c1cc(ccc1C(=O)O)C(=O)O)C(=O)O;8.90152;5.62402;8.90152
FEPPEY;Cd;1.7787;254.236;0.0;OC(=O)c1ccc(cc1Oc1ccc(cc1)C(=O)O)C(=O)O;4.79334;4.4222;4.79334
FEQQUP;Co;1.91499;0.0;0.0;OC(=O)[C@H](Cc1ccc(cc1)O)N;1.90856;0.93616;1.90856
FEQSIF;Co;0.878911;2010.43;0.0;OC(=O)c1cc(OCC(COc2cc(cc(c2)C(=O)O)C(=O)O)(COc2cc(cc(c2)C(=O)O)C(=O)O)COc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O;7.7836;4.7206;7.7836
FEQWUU;Eu;1.94589;0.0;230.911;OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O;4.27932;3.19409;4.27333
FEQXAB;Gd;1.98693;0.0;217.427;OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O;4.27577;3.1738;4.26849
FERCOX;Zn;0.836566;2484.11;0.0;O=C(Nc1ccc(cc1)C(=O)O)Nc1ccc(cc1)C(=O)O;9.10101;5.30039;9.08256
FERGUG;Cd;0.950011;1528.67;0.0;COc1cc(ccc1c1ccc(cc1OC)C(=O)O)C(=O)O;5.99216;3.99701;5.98942
FERGUG;Cd;0.950011;1528.67;0.0;COc1cc(ccc1c1ccc(cc1OC)C(=O)O)C(=O)O;5.99216;3.99701;5.98942
FERLEU;Ag;2.99736;0.0;0.0;OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O;1.85075;0.91162;1.84608
FESBEM;Zn;1.55819;0.0;350.994;OC(=O)c1cc(cc(c1)C(=O)O)c1cc(cc(c1)C(=O)O)C(=O)O;5.39035;2.85125;5.38411
FETHIW;Ag;2.98678;0.0;0.0;OC(=O)c1cc(ccc1O)S(O)(O)O;2.21102;0.82091;2.18706
FETHIW01;Ag;2.97274;0.0;0.0;OC(=O)c1cc(ccc1O)S(O)(O)O;2.20793;0.82021;2.20793
FEVDER;Co;1.24075;0.0;27.9234;OC(=O)c1cc(cc(c1)c1ccncc1)c1ccncc1;4.12345;2.5924;4.10888
