Refcode;Metal;Density (kg/m3);ASA (m2/g);NASA (m2/g);linker SMILES;Largest Cavity Diameter;Pore Limiting Diameter;Largest Free Sphere
ABAVIJ;Co;1.52493;0.0;107.452;OC(=O)c1ccncc1;4.43864;2.4964;3.9804
ABAVOP;Co;1.56594;0.0;0.0;OC(=O)c1ccncc1;3.53566;2.44164;3.51741
ABAYIM;Ag;3.59396;0.0;0.0;OC(=O)c1nccnc1C(=O)O;1.2109;0.51751;1.2109
ABAYIO;Mn;0.949126;1296.04;234.77;OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O;11.39487;4.3226;11.39487
ABAYOS;Ag;3.21582;0.0;0.0;OC(=O)c1nccnc1C(=O)O;1.45533;0.64478;1.45533
ABIWOX;Co;2.21634;0.0;0.0;OC(=O)c1cncc(c1)C(=O)O;1.81541;0.7958;1.80785
ABUFOU;Mn;1.61687;0.0;0.0;OC(=O)/C=C/c1ccc(cc1)/C=C/C(=O)O;2.13608;1.65727;2.11833
ABUFUA;Fe;1.656;0.0;0.0;OC(=O)/C=C/c1ccc(cc1)/C=C/C(=O)O;2.05942;1.64222;2.05073
ABUWOJ;Zn;1.61779;0.0;0.0;OC(=O)c1ccc(cc1)C(=O)O;3.23457;1.404;3.20514
ACAJOG;Cu;1.69584;0.0;0.0;OC(=O)c1cc(F)cnc1;3.3423;1.69329;3.34162
ACAKEX;Cu;1.75303;0.0;0.0;OC(=O)c1cc(Cl)cnc1;2.82904;1.09185;2.4209
ACALIB;Er;1.95864;0.0;0.0;OC(=O)c1cc(cc(c1)c1nnn(c1)c1cc(cc(c1)C(=O)O)C(=O)O)C(=O)O;3.83161;1.64823;3.83161
ACAZEK;Ag;3.63928;0.0;0.0;NCCN;1.67292;0.95578;1.29275
ACIBOE;Zn;1.29982;677.925;105.513;OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O;8.26184;7.04151;8.26184
ACICOH;Ni;1.25034;0.0;464.284;OC(=O)c1ccncc1;5.23439;3.67775;5.17003
ACMPCD;Cd;1.80705;141.141;0.0;O[C@@H]1[C@@H](O)[C@@H](O[C@@H]1n1ccc(nc1=O)N)COP(=O)(O)O;5.66735;4.60927;5.66735
ACOBEC;Sc;1.56642;0.0;0.0;OC(=O)c1ccc(cc1)C(=O)O;3.36484;2.64983;3.36484
ACODAA;Fe;1.01798;1343.89;0.0;n1[nH]cc(c1)c1c[nH]nc1;6.48152;5.94554;6.48152
ACODED;Cu;1.13147;879.864;0.0;OC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O;6.08481;3.78801;6.00167
ACODEE;Fe;1.70834;0.0;0.0;n1[nH]cc(c1)c1c[nH]nc1;2.62395;1.50111;2.6185
ACODON;Tb;1.14924;1258.42;0.0;OC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O;7.12973;4.65534;7.12973
ACOFEG;Eu;1.76159;0.0;0.0;OC(=O)c1cc(Oc2ccc(cc2)c2cc(nc(c2)c2ccncc2)c2ccncc2)cc(c1)C(=O)O;2.93411;1.60176;2.93353
ACOFIK;Tb;1.78982;0.0;0.0;OC(=O)c1cc(Oc2ccc(cc2)c2cc(nc(c2)c2ccncc2)c2ccncc2)cc(c1)C(=O)O;2.87015;1.596;2.87015
ACOGEF;Cd;1.25952;767.716;0.0;O=C(N1CCN(CCN(CCN(CC1)C(=O)Nc1ccncc1)C(=O)Nc1ccncc1)C(=O)Nc1ccncc1)Nc1ccncc1;5.22428;3.94888;4.76827
ACOVEU;Co;2.589;0.0;0.0;O[C@H]([C@H](C(=O)O)O)C(=O)O;1.414;0.90293;1.414
ACUBOP;Cd;1.99443;0.0;0.0;OC(=O)c1cccnc1;2.69745;1.73529;2.68119
ACUBOP01;Cd;1.87584;0.0;0.0;OC(=O)c1cccnc1;2.57554;1.45861;2.56529
ACUREY;Ni;1.24976;0.0;263.901;OC(=O)c1cc(Oc2ccc(cc2)c2cc(nc(c2)c2ccncc2)c2ccncc2)cc(c1)C(=O)O;4.84425;3.67908;4.84333
ACUWIH;Mn;1.61795;0.0;0.0;OC(=O)c1cc(cc(c1)C(=O)O)Cn1ccc(=c2ccn(cc2)Cc2cc(cc(c2)C(=O)O)C(=O)O)cc1;3.04167;1.17186;3.04167
ACUWON;Co;1.83902;0.0;0.0;OC(=O)c1cc(cc(c1)C(=O)O)Cn1ccc(=c2ccn(cc2)Cc2cc(cc(c2)C(=O)O)C(=O)O)cc1;2.6141;1.11559;2.6141
ACUXUU;Ag;1.2025;1172.18;0.0;OC(=O)c1ccc(cc1)C(=C(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O;8.02271;7.05592;8.02271
ADAQAA;Zr;0.701762;2799.64;0.0;OC(=O)c1ccc(cc1)c1ccc2c(c1)C1(c3c2ccc(c3)c2ccc(cc2)C(=O)O)c2cc(ccc2c2c1cc(cc2)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O;10.76894;7.5022;10.75927
ADASIJ;Cu;0.673991;2706.94;3.34992;OC(=O)c1cc(OCc2cc(COc3cc(cc(c3)C(=O)O)C(=O)O)cc(c2)COc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O;18.24535;5.18216;18.24535
ADASOP;Zn;0.755063;0.0;2047.64;OC(=O)c1cc(OCc2cc(COc3cc(cc(c3)C(=O)O)C(=O)O)cc(c2)COc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O;18.03956;3.78957;14.25925
ADATAC;Zn;0.358206;4823.07;9.57448;OC(=O)c1cc(/N=N/c2ccc(cc2)OCc2cc(COc3ccc(cc3)/N=N/c3cc(cc(c3)C(=O)O)C(=O)O)cc(c2)COc2ccc(cc2)/N=N/c2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O;26.34279;10.27339;16.37218
ADATIK;Cu;0.438933;4177.09;6.22321;O=C(c1ccc(cc1)c1nnn[nH]1)Nc1cc(cc(c1)C(=O)O)C(=O)O;19.96403;10.96992;14.15856
ADATUW;Ag;0.640612;3313.02;0.0;C/C(=N\Nc1ccccn1)/c1ccc(cc1)N(c1ccc(cc1)/C(=N/Nc1ccccn1)/C)c1ccc(cc1)/C(=N/Nc1ccccn1)/C;10.34629;8.86044;10.34629
ADEGEY;Cd;1.02074;1830.19;0.0;OC(=O)c1ccc2c(c1)c1ccc(cc1c1c2cc(cc1)C(=O)O)C(=O)O;6.80312;4.92448;6.59725
ADEGIA;Gd;1.96309;0.0;0.0;OC(=O)c1ccc(cc1)C(=O)O;2.88073;1.44486;2.87942
ADEGIA01;Gd;1.95734;0.0;0.0;OC(=O)c1ccc(cc1)C(=O)O;2.88895;1.25148;2.80568
ADEZUH;Zn;2.3992;0.0;0.0;OC(=O)Cc1nnn[nH]1;2.18101;1.09334;2.18101
ADODOO;Eu;1.28796;673.8;0.0;OC(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)O)(COc1ccc(cc1)C(=O)O)COCC(COc1ccc(cc1)C(=O)O)(COc1ccc(cc1)C(=O)O)COc1ccc(cc1)C(=O)O;5.94494;5.30695;5.61158
ADODUU;Tb;1.31573;660.148;0.0;OC(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)O)(COc1ccc(cc1)C(=O)O)COCC(COc1ccc(cc1)C(=O)O)(COc1ccc(cc1)C(=O)O)COc1ccc(cc1)C(=O)O;5.93079;5.28543;5.58472
ADUROI;Zn;;;;O=C(c1cncc(c1)C(=O)Nc1ccc(cc1)C(=O)O)Nc1ccc(cc1)C(=O)O;25.67017;13.8678;25.65463
ADUWIH;Zn;0.745624;2595.67;0.0;OC(=O)c1cccc(c1)OCc1c(COc2cccc(c2)C(=O)O)c(COc2cccc(c2)C(=O)O)c(c(c1COc1cccc(c1)C(=O)O)COc1cccc(c1)C(=O)O)COc1cccc(c1)C(=O)O;7.62273;5.59735;7.586
AFENOQ;Co;1.69766;0.0;0.0;OC(=O)c1cc(cc(c1)C(=O)O)Cn1ccnc1C;2.3957;1.04305;2.3957
AFENOQ01;Co;1.69612;0.0;0.0;OC(=O)c1cc(cc(c1)C(=O)O)Cn1ccnc1C;2.40011;1.03846;2.38678
AFOJIO;Gd;2.95208;0.0;0.0;OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O;1.66787;1.01995;1.62588
AFOTOF;Eu;1.17091;1138.65;0.0;OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O;6.60057;5.0347;6.59902
AFOTUL;Sm;1.15518;1167.05;0.0;OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O;6.68393;5.07216;6.1212
AFOVAT;La;1.13673;1158.53;0.0;OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O;6.397;4.99848;6.31381
AFOVEX;Ce;1.11606;1211.08;0.0;OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O;6.68924;5.0823;6.61679
AFOVIB;Gd;1.19217;1107.29;0.0;OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O;6.59796;4.92425;6.53518
AFOVOH;Nd;1.14378;1161.06;0.0;OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O;6.65313;4.8196;6.18579
AFOWOK;Cd;1.59355;430.893;0.0;OC(=O)CN(CCN(Cc1ccc(cc1)C(=O)O)CC(=O)O)CCN(Cc1ccc(cc1)C(=O)O)CC(=O)O;7.60617;5.6601;7.06175
AFOYAW;Cu;1.00424;1365.11;0.0;n1ncn(c1)c1ccc(cc1)n1cnnc1;5.94533;4.22739;5.94533
AFOYEB;Co;1.69513;286.526;0.0;O[C@H]([C@H](C(=O)O)O)[C@@H]([C@@H](C(=O)O)O)O;5.92566;5.81418;5.92369
AFUPEX;Tm;1.94396;0.0;0.0;OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O;3.06526;0.9884;3.03859
AGEGUR;Tb;1.56171;0.0;69.6208;OC(=O)c1c2ccccc2c(c2c1cccc2)C(=O)O;4.34475;1.25387;4.34217
AGEHAY;Tb;1.96531;0.0;0.0;OC(=O)c1ccc(c2c1cccc2)C(=O)O;2.6222;1.35804;2.62
AGOFEJ;0;0.61845;3092.56;0.0;Cc1nn(c(c1c1ccc(cc1)C(=O)O)C)Cn1nc(c(c1C)c1ccc(cc1)C(=O)O)C;12.30105;8.07675;12.27386
AGOGOU;Fe;2.82228;0.0;0.0;[nH]1cnnc1;1.3569;0.81723;1.35063
AGONAM;Cd;1.43768;762.3;0.0;OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O;5.63222;4.90729;5.59904
AGONEQ;Cd;1.08253;1821.86;0.0;OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O;6.16099;5.90611;6.12795
AGULAQ;Mn;1.69765;0.0;0.0;OC(=O)CN1C=C(O)CC(=C1)C(=O)O;3.20902;1.59246;3.20792
AGUMAR;Cu;2.4512;0.0;0.0;OC(=O)c1cc(nc(c1)C(=O)O)C(=O)O;2.77761;1.51228;2.76762
AHAJUP;Cd;2.14622;0.0;0.0;c1ncn(c1)Cn1cncc1;2.43776;1.33698;2.43776
AHAKEA;Ce;2.45041;0.0;0.0;Oc1cc(nc(c1)C(=O)O)C(=O)O;1.97554;0.99077;1.96307
AHALEB;La;2.47218;0.0;0.0;Oc1cc(nc(c1)C(=O)O)C(=O)O;1.95358;0.98234;1.9481
AHALEB02;La;2.44288;0.0;0.0;Oc1cc(nc(c1)C(=O)O)C(=O)O;1.88312;0.97043;1.87288
AHEBAS;Cu;1.28989;0.0;453.384;O=C(N1CCC[C@H]1C(=O)O)c1cc(cc(c1)C(=O)O)C(=O)O;5.52851;3.09493;5.43127
AHEFAU;Fe;1.96672;0.0;0.0;OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O;2.6553;1.96759;2.6553
AHEFAU01;Fe;1.97079;0.0;0.0;OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O;2.6147;1.92596;2.61073
AHEMEG;Cu;1.92596;0.0;0.0;OC(=O)c1ccncc1;2.35225;1.41779;2.35225
AHEMOQ;Li;1.60626;0.0;0.0;OC(=O)c1ccc2c(c1)ccc(c2)C(=O)O;1.50584;0.67141;1.2905
AHEQAH;Ho;0.802249;2664.49;0.0;OC(=O)c1ccc(cc1)C#Cc1cc(C#Cc2ccc(cc2)C(=O)O)cc(c1)C#Cc1ccc(cc1)C(=O)O;9.26829;6.21673;9.2669
AHETAK;Co;0.987316;1806.36;0.0;OC(=O)c1ccncc1;9.74824;6.48486;9.74824
AHIZOH;Mn;1.88268;0.0;0.0;OC(=O)c1cc(N)cc(c1)N;1.85354;1.13507;1.84986
AHIZUN;Cd;2.33742;0.0;0.0;OC(=O)c1cc(N)cc(c1)N;2.11356;1.27021;2.09786
AHOBAB;Mn;1.92302;0.0;0.0;OC(=O)c1ccc(cc1)N;1.58627;0.92558;1.58627
AJABIX;Cu;1.18848;0.0;644.424;CCc1[nH]nc(n1)CC;7.10028;1.48011;7.10028
AJABIX01;Cu;1.172;0.0;677.053;CCc1[nH]nc(n1)CC;7.3501;1.58663;6.92152
AJABOD;Cu;1.18408;0.0;655.906;CCc1[nH]nc(n1)CC;7.18168;1.54402;6.72497
AJAKON;Cd;1.39249;0.0;365.738;OC(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O;5.12194;3.11649;5.12194
AJASUA;Pb;3.6081;0.0;0.0;OC(=O)c1cccc(c1)P(=O)(O)O;1.84682;1.15569;1.84682
AJIJEI;Cd;2.1484;0.0;0.0;Nc1cc(cc(c1)C(=O)O)C(=O)O;2.29089;1.86473;2.29089
AJIJEI01;Cd;2.15726;0.0;0.0;Nc1cc(cc(c1)C(=O)O)C(=O)O;2.44266;1.99293;2.44266
AJIJEI02;Cd;2.16319;0.0;0.0;Nc1cc(cc(c1)C(=O)O)C(=O)O;2.34071;2.00407;2.34071
AJIQIU;Cd;1.98329;0.0;0.0;OC(=O)c1ccc(cc1)NNc1ccc(cc1)C(=O)O;1.69473;1.13596;1.66659
AKAYIV;Cu;1.14308;925.438;0.0;O=C(c1ccncc1)Oc1cc(OC(=O)c2ccncc2)cc(c1)OC(=O)c1ccncc1;9.48255;9.1997;9.47754
AKEGUT;Zn;1.85066;0.0;0.0;COc1cc(C(=O)O)c(cc1C(=O)O)OC;2.26139;1.30294;2.26139
AKOBAF;;1.20786;234.302;115.748;O=C(Nc1cccnc1)Cc1ccc(cc1)CC(=O)Nc1cccnc1;4.64956;3.80044;4.64793
AKUHOD;Gd;2.66288;0.0;0.0;OC(=O)CC(=O)O;2.38411;1.18118;2.38411
AKUHOD01;Gd;2.63024;0.0;0.0;OC(=O)CC(=O)O;2.5796;1.22633;2.57203
ALAMUW;Cu;1.34014;0.0;1268.18;OC(=O)c1cc(cc(c1)C(=O)O)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)c1cc(cc(c1)C(=O)O)C(=O)O;11.3145;3.49746;11.31422
ALANAD;Zn;0.925117;1841.49;0.0;OC(=O)c1cc(cc(c1)C(=O)O)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)c1cc(cc(c1)C(=O)O)C(=O)O;8.23629;5.32411;8.21237
ALEJAE;In;0.325058;4449.62;0.0;O=C(Nc1ccc(cc1)C(=O)O)Nc1cc(NC(=O)Nc2ccc(cc2)C(=O)O)cc(c1)NC(=O)Nc1ccc(cc1)C(=O)O;19.58882;13.70573;19.5778
ALEJEI;Cu;0.639637;3109.72;4.0347;O=C(Nc1cc(cc(c1)C(=O)O)C(=O)O)Nc1cc(NC(=O)Nc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)NC(=O)Nc1cc(cc(c1)C(=O)O)C(=O)O;18.06509;5.30042;15.69451
ALEJIM;Zn;0.63014;3171.96;0.0;O=C(Nc1cc(cc(c1)C(=O)O)C(=O)O)Nc1cc(NC(=O)Nc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)NC(=O)Nc1cc(cc(c1)C(=O)O)C(=O)O;18.20917;5.38393;11.84134
ALEQIT;Tb;2.16457;0.0;0.0;OC(=O)c1ccc(cc1)C(=O)O;2.33632;1.40235;2.31142
ALICEE;Cu;1.69743;657.648;0.0;[nH]1cnnc1;8.89228;8.87656;8.89228
ALICII;Cu;1.508;788.107;0.0;[nH]1cnnc1;9.4646;9.44604;9.4646
ALIQUH;Mn;1.68858;0.0;85.1496;OC(=O)C(=O)O;3.96739;2.24492;3.96739
ALIRAO;Mn;3.15152;0.0;0.0;OC(=O)C(=O)O;1.3527;0.61583;1.3527
ALIRAO01;Mn;3.10592;0.0;0.0;OC(=O)C(=O)O;1.35759;0.38492;1.10821
ALIXID;Co;1.31055;0.0;368.536;OC(=O)c1cc(Cc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O;4.78838;3.08603;4.77521
ALIXOJ;Ni;1.24174;0.0;262.144;OC(=O)c1cc(Cc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O;4.5568;2.23193;4.54864
ALIXUP;Cu;1.51419;0.0;0.0;OC(=O)c1cc(Cc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O;3.69353;3.37821;3.6846
ALOLIY;Mn;1.47534;0.0;64.6134;OC(=O)c1cc(cc(c1)C(=O)O)c1cc(cc(c1)C(=O)O)C(=O)O;4.23253;2.35684;4.22411
ALOVEC;V;1.90392;0.0;0.0;OC(=O)c1ccc(cc1)C(=O)O;3.17356;1.91917;3.151
ALUJUN;Y;1.70352;0.0;0.0;OC(=O)c1ccc(cc1)C(=O)O;2.72505;1.11645;2.54188
ALUKAU;Dy;2.02138;0.0;0.0;OC(=O)c1ccc(cc1)C(=O)O;2.77694;1.1742;2.69277
ALUKIC;Ce;0.730232;3679.06;0.0;OC(=O)c1ccc(cc1)/N=N/c1ccc(cc1)C(=O)O;6.69309;5.0685;6.69309
ALUKOI;Sm;0.743905;3620.99;0.0;OC(=O)c1ccc(cc1)/N=N/c1ccc(cc1)C(=O)O;6.68104;5.08377;6.68104
ALUKUO;Eu;0.746608;3622.64;0.0;OC(=O)c1ccc(cc1)/N=N/c1ccc(cc1)C(=O)O;6.6661;5.06973;6.66486
ALULAV;Gd;0.755928;3555.28;0.0;OC(=O)c1ccc(cc1)/N=N/c1ccc(cc1)C(=O)O;6.65399;5.06505;6.65399
ALULID;Ce;0.975857;1828.23;0.0;OC(=O)c1ccc(cc1)/N=N/c1ccc(cc1)C(=O)O;7.81513;5.26932;7.71291
AMAFIE;Cd;2.13147;0.0;0.0;OC(=O)c1cncnc1;2.01439;1.31156;2.01291
AMAFOK;Cu;2.10491;360.546;0.0;OC(=O)c1cncnc1;6.61413;5.66352;6.61413
AMAFUQ;Cu;2.08874;362.508;0.0;OC(=O)c1cncnc1;6.73945;5.81456;6.69035
AMAGAX;Cu;1.45916;571.751;0.0;OC(=O)c1cncnc1;6.9357;6.09475;6.93444
AMAJUU;Pb;3.20671;0.0;0.0;OC(=O)c1ccc(cn1)C(=O)O;1.80229;0.7508;1.76649
AMALND;Nd;2.2397;0.0;0.0;OC(=O)CC(=O)O;2.91841;2.05934;2.91232
AMBZAG10;Ag;2.16289;0.0;0.0;OC(=O)c1ccc(cc1)N;2.32181;1.18814;2.31351
AMIKOX;;1.4673;0.0;0.0;n1ccc(cc1)[C@@H]1[C@@H](c2ccncc2)[C@@H]([C@H]1c1ccncc1)c1ccncc1;3.47183;2.70035;3.46539
AMIWID;Eu;2.51041;0.0;0.0;OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O;3.32731;1.34926;3.32298
AMIWOJ;Gd;2.52713;0.0;0.0;OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O;3.40106;1.33617;3.3817
AMIWUP;Tb;2.55838;0.0;0.0;OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O;2.74781;1.59923;2.72858
AMIXAW;Dy;2.60351;0.0;0.0;OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O;2.75416;1.54727;2.73046
AMIXIE;Er;2.54136;0.0;0.0;OC(=O)c1ccc(cc1)C(=O)O;1.95306;0.83842;1.95242
AMIXOK;Nd;2.31024;0.0;0.0;OC(=O)c1ccc(cc1)C(=O)O;2.04656;0.8728;2.04656
AMIXUQ;Yb;2.50765;0.0;0.0;OC(=O)c1ccc(cc1)C(=O)O;1.94185;0.80815;1.92529
AMIYIG;Fe;1.47241;0.0;168.703;OC=O;4.51764;1.94778;4.51764
AMIZAZ;Ni;1.59075;0.0;107.655;OC=O;4.35273;1.88028;4.35273
AMIZAZ01;Ni;1.58546;0.0;111.559;OC=O;4.36001;1.89286;4.34382
AMIZAZ02;Ni;1.57248;0.0;122.715;OC=O;4.37932;1.93256;4.37932
AMIZON;Cu;1.58305;0.0;108.833;OC=O;4.35196;2.16454;4.35196
AMIZON01;Cu;1.57204;0.0;114.275;OC=O;4.36611;2.19645;4.36611
AMOBEL02;Zn;1.58235;0.0;139.701;OC=O;4.47286;1.9558;3.8007
AMOFAK;Eu;0.740906;3592.05;0.0;OC(=O)c1ccc(cc1)/C=C/c1ccc(cc1)C(=O)O;6.9168;5.54429;6.53545
AMOMUM;Fe;1.4919;0.0;151.72;OC=O;4.48601;1.88776;4.47037
AMONAT;Fe;1.48528;0.0;157.381;OC=O;4.49937;1.9075;4.49937
AMUCOB;Ca;2.19253;0.0;11.7484;OC(=O)CCCC(=O)O;4.04145;3.31528;4.04145
AMURUX;Mg;1.25465;0.0;151.066;OC=O;4.2686;2.1039;4.2686
AMURUX01;Mg;1.24221;0.0;181.022;OC=O;4.33839;2.12858;4.33839
AMURUX02;Mg;1.24027;0.0;196.064;OC=O;4.50321;2.0868;4.49477
AMURUX06;Mg;1.24873;0.0;161.33;OC=O;4.29345;2.11487;4.29345
AMURUX07;Mg;1.24681;0.0;169.196;OC=O;4.31356;2.11951;4.31356
AMURUX08;Mg;1.24015;0.0;188.593;OC=O;4.35834;2.13069;4.26734
AMURUX09;Mg;1.236;0.0;193.703;OC=O;4.3827;2.13525;4.3827
AMURUX10;Mg;1.24049;0.0;195.386;OC=O;4.50171;2.09369;4.3131
AMURUX11;Mg;1.23794;0.0;198.173;OC=O;4.50712;2.10292;4.50642
ANUGEW;Cu;0.473763;4441.91;0.0;OC(=O)c1cc(cc(c1)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O;14.44193;10.20513;14.44193
ANUGIA;Cu;0.656254;3232.23;0.0;OC(=O)c1cc(cc(c1)C(=O)O)c1cc(cc(c1)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O;13.85265;5.24426;13.85265
ANUGOG;Cu;0.623354;3189.05;0.0;OC(=O)c1cc(cc(c1)C(=O)O)c1cc(cc(c1)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O;11.37659;5.65459;11.37658
ANUGUM;Zn;0.68036;3475.1;0.0;OC(=O)c1ccc(cc1)c1cc(cc(c1)c1cc(cc(c1)C(=O)O)C(=O)O)c1cc(cc(c1)C(=O)O)C(=O)O;8.26528;7.02092;8.26449
APAYIB;Eu;1.18759;922.627;3.08492;OC(=O)c1ccc(cc1)c1ccc(cc1)c1cc(cc(c1)C(=O)O)C(=O)O;5.82803;4.21212;5.82803
APAYOH;Tb;1.18874;988.674;1.29552;OC(=O)c1ccc(cc1)c1ccc(cc1)c1cc(cc(c1)C(=O)O)C(=O)O;5.99371;4.14872;5.99371
APAYUN;La;1.12241;999.556;0.0;OC(=O)c1ccc(cc1)c1ccc(cc1)c1cc(cc(c1)C(=O)O)C(=O)O;5.97076;4.10555;5.96499
APAZAU;Eu;1.02983;1585.34;3.49683;OC(=O)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1cc(cc(c1)C(=O)O)C(=O)O;6.57194;4.44244;6.55023
APAZEY;Tb;1.03062;1594.84;0.0;OC(=O)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1cc(cc(c1)C(=O)O)C(=O)O;6.61049;4.46802;6.61008
APAZIC;La;0.949667;1832.89;1.43656;OC(=O)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1cc(cc(c1)C(=O)O)C(=O)O;7.1095;4.73443;7.1095
APAZOI;La;1.24434;762.328;5.24104;OC(=O)c1ccc(cc1)c1cc(cc(c1)C(=O)O)C(=O)O;4.80201;4.01752;4.80201
APOGOD;Fe;2.57401;0.0;4.90305;OC=O;3.94813;1.94117;3.94813
APUVIS;Zn;1.12072;958.845;0.0;CC(C[C@@H](C(=O)O)NCc1ccncc1)C;8.51054;8.28053;8.51054
AQAJEI;Zn;1.10723;0.0;765.849;OC(=O)c1ccc(cc1)n1cnnc1;6.90366;2.45763;6.89498
AQAJIM;Ba;2.3457;0.0;0.0;OC(=O)c1cc(cc(c1)S(O)(O)O)C(=O)O;2.23026;1.51023;2.23026
AQAMIO02;Co;1.61896;0.0;0.0;OC(=O)/C=C/c1cccnc1;2.06671;1.21702;1.98933
AQEQES;Co;1.07587;1376.68;0.0;OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O;5.6853;5.37606;5.65305
AQIQAU;Cd;1.53572;0.0;0.0;OC(=O)c1ccc(cc1)c1cc(cc(n1)c1ccc(cc1)C(=O)O)c1ccncc1;3.45286;1.37673;3.45286
AQIQEY;Cu;1.59917;0.0;0.0;OC(=O)c1ccc(cc1)c1cc(cc(n1)c1ccc(cc1)C(=O)O)c1ccncc1;3.38104;1.03489;3.37423
AQIVIF;La;2.12722;0.0;0.0;OC(=O)c1cccc(n1)C(=O)O;3.60542;1.26372;1.91061
AQIVOL;Sm;2.28284;0.0;0.0;OC(=O)c1cccc(n1)C(=O)O;3.49305;1.1922;1.96663
AQMAND;Nd;2.46869;0.0;0.0;OC(=O)CC(=O)O;2.62643;1.22555;2.62643
AQOJUL;Cd;2.48449;0.0;0.0;OC(=O)c1cnccc1C(=O)O;2.06141;1.1472;2.05506
AQOJUL01;Cd;2.49282;0.0;0.0;OC(=O)c1cnccc1C(=O)O;2.02918;1.15689;2.02111
AQOROP;Zn;1.86712;0.0;0.0;OC(=O)c1ccc2c(c1)ccc(c2)c1nnn[nH]1;2.20915;1.25969;2.16416
AQORUV;Cd;2.05469;0.0;0.0;OC(=O)c1ccc2c(c1)ccc(c2)c1nnn[nH]1;2.81804;0.99696;2.80791
AQUCUM;Ni;1.1988;1205.72;0.0;OC(=O)c1cc(O)c(cc1O)C(=O)O;11.51515;10.72337;11.51515
AQUDIB;Ni;1.19943;1207.8;0.0;OC(=O)c1cc(O)c(cc1O)C(=O)O;11.36096;10.54501;11.36096
AQUKOO;Co;1.8079;0.0;0.0;OC(=O)c1ccc(cn1)c1cc(cc(c1)C(=O)O)C(=O)O;3.55129;1.3142;3.55081
AQULEF;Mn;1.69183;0.0;0.0;OC(=O)c1ccc(cn1)c1cc(cc(c1)C(=O)O)C(=O)O;3.65382;1.49855;3.65212
AQULOP;Ni;1.83507;0.0;0.0;OC(=O)c1ccc(cn1)c1cc(cc(c1)C(=O)O)C(=O)O;3.51617;1.25801;3.51614
ARAJIO;Co;1.16598;682.857;0.0;OC(=O)c1cccc2c1cccn2;5.82193;4.26368;4.89692
ARAKAH;Zn;1.1858;664.719;0.0;OC(=O)c1cccc2c1cccn2;5.78749;4.25745;4.93086
ARATIY;Cu;2.2881;0.0;0.0;OP(=O)(c1ccc2c(c1)ccc(c2)P(=O)(O)O)O;2.3397;1.19277;2.3397
ARINOF;Cu;1.16089;0.0;310.493;N(Cc1ccncc1)NCc1ccncc1;4.65727;3.54074;4.65727
