Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,modularity_class,eigencentrality
ABAVIJ,,1,0.999034,1,1,1,0,0,0,0.00332
OJOBAS,,1,0.999034,1,1,1,0,0,0,0.00332
ABAVOP,,1,0.999979,1,1,1,0,1,1,0.00332
VEDFER,,1,0.999979,1,1,1,0,1,1,0.00332
ABAYOU,,2,1.99282,5,0.3,0.401389,0.000005,2,10,0.011532
FIXLAC,,1,0.994995,6,0.235294,0.305556,0,2,10,0.006079
TIVYAZ,,2,1.997078,4,0.387097,0.472222,0.000009,2,10,0.017327
AHETAK,,1,0.999948,2,0.6,0.666667,0,3,2,0.007322
VODNOS,,3,2.922718,1,1,1,0.000001,3,2,0.013273
AVUCEA,,1,0.999947,1,1,1,0,4,3,0.00332
CIFMIP,,1,0.999947,1,1,1,0,4,3,0.00332
BAKJEE,,1,0.966493,1,1,1,0,5,4,0.00332
SIDXOV,,1,0.966493,1,1,1,0,5,4,0.00332
BEDPAE,,1,0.999995,1,1,1,0,6,5,0.00332
HAJKOU,,1,0.999995,1,1,1,0,6,5,0.00332
BOWDIC,,1,0.999375,2,0.6,0.666667,0,7,6,0.007322
TATSIS,,3,2.998728,1,1,1,0.000001,7,6,0.013273
BOWDOI,,3,2.999723,3,0.625,0.766667,0.000003,8,7,0.016009
KEJWAY,,2,1.999552,2,0.625,0.7,0.000003,8,7,0.013996
VEDGAO,,1,0.999998,4,0.416667,0.516667,0,8,7,0.008008
VEDGES,,1,0.999972,4,0.416667,0.516667,0,8,7,0.008008
CAXZOS,,1,0.922936,2,0.6,0.666667,0,3,2,0.007322
CEJFOO,,2,1.994401,2,0.75,0.833333,0.000001,9,13,0.009726
FAZPED,,2,1.99406,2,0.75,0.833333,0.000001,9,13,0.009726
WOPWOP,,1,0.999167,3,0.5,0.611111,0,9,13,0.005762
CIPLIX,,1,0.991308,5,0.315789,0.3875,0,2,10,0.011879
PUNYED,,4,3.928234,4,0.444444,0.583333,0.000017,2,10,0.029371
COXFOL,,1,0.999374,1,1,1,0,10,8,0.00332
FILYAC,,1,0.999374,1,1,1,0,10,8,0.00332
DIBQIQ,,1,0.915969,1,1,1,0,11,9,0.00332
NOMPOW,,1,0.915969,1,1,1,0,11,9,0.00332
DUVNIS01,,3,2.991886,3,0.5,0.583333,0.000021,2,10,0.028987
XAVQIU,,3,2.934717,4,0.413793,0.527778,0.000013,2,10,0.022739
ESEQUO,,1,0.988973,1,1,1,0,12,11,0.00332
