Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,modularity_class,eigencentrality
IQAGEN,,10,8.381935,9,0.323932,0.360658,0.000009,9,10,0.125338
UHUQAQ01,,1,0.846349,10,0.271989,0.292644,0,9,10,0.012547
HAZYUE,,17,14.495757,10,0.348052,0.393208,0.000002,9,10,0.27423
PUQYAC,,18,15.80011,10,0.344375,0.389401,0.000002,9,10,0.264027
XEGWIS,,20,17.765415,10,0.350073,0.396138,0.000004,9,10,0.28794
XOQXEH,,18,15.483491,10,0.34408,0.388634,0.000003,9,10,0.250347
USICAB,,1,0.86337,10,0.248865,0.265581,0,9,10,0.004149
FASQUN,,15,12.930514,9,0.345163,0.388742,0.000002,9,10,0.232203
VEMMAC,,4,3.631016,11,0.245771,0.264165,0.00004,9,17,0.004272
FELZOM,,5,4.187664,10,0.275154,0.295899,0.000025,9,17,0.01179
GETWUZ,,5,4.256544,10,0.269618,0.291183,0.000005,9,10,0.012259
WAKHUO,,14,11.65614,9,0.340582,0.384594,0.000002,9,10,0.20125
FEHCIG,,12,10.1929,10,0.325858,0.367661,0.000006,9,10,0.13957
JOGBAK,,4,3.274244,10,0.272112,0.2944,0,9,10,0.018637
XILVIA,,14,12.180603,9,0.33032,0.374327,0.000003,9,10,0.17798
FEHCOM,,10,8.349176,10,0.327362,0.366696,0.000001,9,10,0.142252
MEWPIQ,,12,10.140958,10,0.323238,0.362481,0.000002,9,10,0.142655
IRELAU,,7,5.930968,10,0.303091,0.331626,0,9,10,0.059661
VOSWOR,,16,14.030293,10,0.324805,0.364348,0.000009,9,10,0.13854
GADROU,,19,16.079384,10,0.341837,0.387106,0.000004,9,10,0.259416
