Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,modularity_class,eigencentrality
ABAVIJ,,6,5.04817,10,0.198494,0.230711,0.000136,0,0,0.014101
ABAYOU,,6,5.262631,9,0.203451,0.234743,0.000085,0,0,0.014685
ETUWOG,,9,7.885996,9,0.228922,0.269579,0.000231,0,0,0.026886
FUMJAZ01,,1,0.855875,11,0.16568,0.182574,0,0,0,0.002963
SOWTIJ,,1,0.824874,11,0.16568,0.182574,0,0,0,0.002963
WOPWOP,,5,4.3183,9,0.19823,0.226642,0.000082,0,0,0.011452
ZAVLAM,,3,2.610303,11,0.165926,0.18555,0.000042,0,0,0.004967
ABAVOP,,5,4.431833,10,0.199466,0.232618,0.000032,0,0,0.014196
BAKJOO,,3,2.568417,10,0.192771,0.219345,0.000022,0,0,0.009806
BOWDIC,,10,8.99519,9,0.216321,0.257847,0.00016,0,0,0.026106
JODGEQ,,3,2.617588,11,0.180354,0.207956,0.000007,0,0,0.007211
VAKREG,,7,6.217285,10,0.216844,0.258882,0.000086,0,0,0.022912
XALMII,,2,1.718949,11,0.181892,0.208434,0.000006,0,0,0.006437
ABAVUV,,7,6.248143,10,0.209542,0.24981,0.000114,0,0,0.019452
BAKJII,,5,4.298153,11,0.183682,0.218006,0.000058,0,0,0.011946
BOWDOI,,5,4.28581,9,0.221235,0.253852,0.00011,0,0,0.015552
CEYPUT,,6,5.515557,11,0.207407,0.251538,0.000096,0,0,0.020783
DIQHAO01,,9,7.833425,11,0.207216,0.254684,0.00013,0,0,0.028405
NERVIP,,4,3.46497,10,0.196837,0.226826,0.000031,0,0,0.010941
RAVGEC,,2,1.637107,11,0.175962,0.199169,0.000005,0,0,0.005297
CIRTAB,,3,2.558904,9,0.201529,0.226615,0.000029,0,0,0.009488
ICAMEG,,2,1.708412,10,0.176517,0.1967,0.000008,0,0,0.004945
RIKFUP,,2,1.688061,10,0.184818,0.209565,0.000006,0,0,0.006931
VEMTAJ01,,7,6.399525,8,0.232848,0.267823,0.000211,0,0,0.02257
XULDEP,,5,4.346392,10,0.195037,0.223409,0.000066,0,0,0.01133
ABIWOX,,2,1.875835,12,0.16779,0.184549,0.000042,0,0,0.003508
EDAJUP01,,4,3.509188,11,0.201167,0.228825,0.000088,0,0,0.010359
LADWAR,,2,1.728192,13,0.14382,0.155555,0.000021,0,0,0.002288
ADIQEL,,1,0.809254,13,0.156043,0.170732,0,0,0,0.001859
OJOBAS,,3,2.427691,12,0.184818,0.210455,0.000027,0,0,0.007397
AHETAK,,7,6.082764,11,0.21737,0.261397,0.000095,0,0,0.023758
CANYIB,,11,9.494665,10,0.230928,0.28424,0.000333,0,0,0.040407
COWRAJ,,2,1.690187,10,0.192027,0.216881,0.000016,0,0,0.006818
HAJKOU,,2,1.65554,10,0.198494,0.223389,0.000006,0,0,0.006948
JODGIU,,5,4.447294,10,0.20162,0.23507,0.000047,0,0,0.014857
LASMAV,,9,8.198124,10,0.230216,0.275016,0.000124,0,0,0.030715
MOXDOT01,,8,7.04793,11,0.225693,0.271324,0.000134,0,0,0.029646
ODIZOQ01,,2,1.809089,12,0.181818,0.20816,0.000005,0,0,0.005846
AVUCEA,,9,7.939274,10,0.215074,0.249857,0.000153,0,0,0.019312
EDAJUP,,3,2.534863,11,0.1852,0.208238,0.000033,0,0,0.007387
ESUSOC01,,2,1.610379,11,0.1992,0.225162,0.000024,0,0,0.008423
GIZVER,,4,3.62616,10,0.206737,0.237259,0.000045,0,0,0.012937
HISJIE,,2,1.833483,11,0.18975,0.213258,0.000009,0,0,0.00686
KESFOG,,6,5.398407,9,0.224561,0.257743,0.000115,0,0,0.017824
SIZNOG,,1,0.80597,11,0.177075,0.194147,0,0,0,0.003848
UFUKUB01,,3,2.67716,10,0.198758,0.226553,0.000031,0,0,0.010667
WANNEH,,3,2.526059,9,0.212726,0.235643,0.000096,0,0,0.010012
AXINAX01,,5,4.45504,10,0.200537,0.234802,0.000054,0,0,0.015439
JOQQAJ,,9,7.956293,9,0.22799,0.270901,0.000146,0,0,0.030278
MOXDOT,,5,4.395185,10,0.195633,0.227303,0.000041,0,0,0.013058
RUYGAV,,2,1.661116,11,0.168802,0.189568,0.000009,0,0,0.004232
XALMOO,,2,1.731782,11,0.174523,0.198813,0.000001,0,0,0.006454
AXINIF,,7,6.090404,9,0.219823,0.249611,0.000265,0,0,0.016978
LUWZUZ,,3,2.540753,10,0.209738,0.236354,0.00004,0,0,0.011182
LUYSOP,,10,9.080719,10,0.231405,0.274823,0.000253,0,0,0.029617
NIGNUO,,2,1.949925,10,0.201711,0.224446,0.000023,0,0,0.008235
NOMPIQ,,5,4.331762,10,0.223776,0.256647,0.000141,0,0,0.016525
VEGXOW,,1,0.801424,10,0.180282,0.195045,0,0,0,0.00334
XIHSEN01,,2,1.685773,10,0.204286,0.228602,0.00003,0,0,0.008744
XUZRIU,,3,2.591753,9,0.19211,0.209551,0.000221,0,9,0.006576
AZIHOI,,3,2.477236,8,0.206262,0.22694,0.000157,0,0,0.008463
DEHHIK,,3,2.568813,8,0.205222,0.227065,0.000077,0,0,0.008459
LOMQOV,,8,7.015474,8,0.222222,0.256928,0.000211,0,0,0.020069
XAVQIU,,6,5.061015,8,0.214149,0.237077,0.000609,0,0,0.01173
BAKJEE,,5,4.504532,11,0.20299,0.237985,0.000075,0,0,0.014327
BIKMAL01,,2,1.710003,10,0.199822,0.225732,0.000015,0,0,0.007992
SIDXOV,,3,2.697034,10,0.195292,0.219365,0.000039,0,0,0.00808
VEDFUH,,8,6.836406,10,0.216425,0.257665,0.000151,0,0,0.023099
XEVXUT,,3,2.541078,12,0.172241,0.19558,0.000016,0,0,0.00568
BOWDUO,,7,6.04985,10,0.201984,0.239561,0.000069,0,0,0.018432
FIFNOY02,,3,2.703701,12,0.165009,0.191361,0.00001,0,0,0.006844
FIFNUE01,,3,2.704461,10,0.178415,0.203735,0.00005,0,0,0.007503
IPURIV,,1,0.852697,12,0.155232,0.174088,0,0,0,0.002603
BASJUB,,1,0.814076,10,0.177919,0.198109,0,0,0,0.004677
BELTUJ,,1,0.896693,11,0.186279,0.209523,0,0,0,0.005358
VAKRIK,,10,8.820205,10,0.228805,0.27694,0.000223,0,0,0.032865
