Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,modularity_class,eigencentrality
AFUFEP,,36,62.00833,4,0.54878,0.665741,0.000001,26,22,0.001175
AHONIU,,35,59.14877,3,0.592105,0.681481,0.000004,26,22,0.001131
ALUKOI,,20,33.792459,5,0.44335,0.542778,0,26,22,0.000682
AVAQET,,54,92.90222,4,0.647482,0.778704,0.000004,26,22,0.001681
COKJOD,,34,57.551756,3,0.588235,0.675926,0.000003,26,22,0.001104
CUXPAN,,20,33.844814,5,0.44335,0.542778,0,26,22,0.000682
DARDEH,,22,37.457999,5,0.45,0.555741,0,26,22,0.000736
ELIKIU,,25,42.519214,4,0.497238,0.594444,0,26,22,0.000848
HELNIY,,54,92.911486,4,0.647482,0.778704,0.000004,26,22,0.001681
HIPMAW,,12,20.904019,5,0.420561,0.493704,0,26,22,0.000404
HUCWOT,,21,35.326098,5,0.463918,0.56,0.000002,26,22,0.000711
HUKZUK,,8,13.2749,5,0.412844,0.471481,0,26,22,0.000288
IZIHAC,,13,21.25135,4,0.452261,0.516667,0.000001,26,22,0.000458
KAYBUI,,16,27.115766,5,0.445545,0.529815,0,26,22,0.000526
LEPKUO,,34,57.411502,3,0.588235,0.675926,0.000003,26,22,0.001098
LIXCUS,,20,34.003886,5,0.447761,0.547407,0.000001,26,22,0.000672
LUWMOH,,35,60.307329,4,0.545455,0.660185,0.000001,26,22,0.00115
LUWMUN,,29,49.916192,4,0.517241,0.621296,0,26,22,0.000963
NIKHUL,,10,16.800199,5,0.420561,0.486296,0.000001,26,22,0.000339
PEFRID,,12,20.897291,5,0.420561,0.493704,0,26,22,0.000404
PEFRID01,,12,20.915625,5,0.420561,0.493704,0,26,22,0.000404
PELVUZ,,22,38.01252,5,0.456853,0.561296,0,26,22,0.000749
QERROV,,34,59.408655,4,0.538922,0.652778,0.000001,26,22,0.001107
SEQXET,,35,61.010585,4,0.545455,0.660185,0.000001,26,22,0.001135
UKAQAZ,,22,37.450709,5,0.45,0.555741,0,26,22,0.000736
VITZEF,,32,54.637611,4,0.545455,0.65,0.000002,26,22,0.001053
VOJNAK,,34,57.55713,3,0.588235,0.675926,0.000003,26,22,0.001104
VUKTAY,,22,38.048502,5,0.456853,0.561296,0,26,22,0.000749
WOJYIF,,36,61.985974,4,0.54878,0.665741,0.000001,26,22,0.001175
WOJZOM,,36,61.953653,4,0.54878,0.665741,0.000001,26,22,0.001175
XEVGUB,,14,23.861894,5,0.441176,0.518704,0,26,22,0.000465
YEMROA,,12,19.965469,5,0.422535,0.495556,0,26,22,0.000436
YICGID,,33,55.044783,4,0.542169,0.650926,0.000001,26,22,0.00109
YIXFIW,,54,92.837325,4,0.647482,0.778704,0.000006,26,22,0.001674
ZEDVUB,,49,84.622101,4,0.62069,0.749074,0.000003,26,22,0.001537
AFOVAT,,51,87.792173,5,0.469697,0.601935,0.000022,7,6,0.001811
APAYUN,,53,90.65452,5,0.437853,0.591398,0.000002,7,6,0.001909
APAZIC,,53,90.654573,5,0.437853,0.591398,0.000002,7,6,0.001909
APAZOI,,53,90.558751,5,0.437853,0.591398,0.000001,7,6,0.001913
CIQQIE,,21,35.346334,5,0.382716,0.470968,0,7,6,0.000828
CUXQES,,29,48.063564,5,0.400517,0.504839,0.000001,7,6,0.001068
DICJUW,,8,13.669055,6,0.360465,0.425269,0.000001,7,6,0.000287
DOJXIK,,48,80.704557,5,0.457227,0.592151,0.000006,7,6,0.001705
FECXAO,,46,78.837836,5,0.423497,0.564516,0.000002,7,6,0.001675
GIYSAJ,,17,28.384053,6,0.354691,0.437634,0,7,6,0.000612
GIYSAJ02,,17,28.406005,6,0.354691,0.437634,0,7,6,0.000612
GIYSAJ03,,12,20.383283,6,0.351474,0.422581,0,7,6,0.000442
HUSJUC,,33,54.464228,5,0.405759,0.519355,0,7,6,0.001251
JIYPEP,,27,45.305877,6,0.370813,0.47828,0,7,6,0.001001
KOQXUL,,48,80.910722,5,0.457227,0.592151,0.000006,7,6,0.001705
KUGQOT,,49,82.553412,5,0.459941,0.596452,0.000006,7,6,0.001735
LESWAI,,48,79.412362,5,0.445402,0.585484,0.000004,7,6,0.001736
LUWMEX,,53,90.590772,5,0.437853,0.591398,0.000001,7,6,0.001913
MICJUG,,18,30.407395,5,0.380835,0.462366,0.000003,7,6,0.000687
NAMDOV,,47,79.370443,5,0.457227,0.59,0.000005,7,6,0.001675
OHIHUJ,,48,80.679934,5,0.457227,0.592151,0.000006,7,6,0.001705
PAPKID,,9,15.163523,6,0.351474,0.406452,0.000036,7,6,0.00026
PEZCII,,45,77.117968,5,0.422343,0.56129,0.000002,7,6,0.001648
RAGMOE,,32,55.629409,5,0.397436,0.509355,0,7,6,0.001182
RUWWOW,,38,64.972003,5,0.423497,0.544624,0.000001,7,6,0.001417
RUWWOW01,,38,64.970119,5,0.423497,0.544624,0.000001,7,6,0.001417
RUWXAJ,,38,64.969318,5,0.423497,0.544624,0.000001,7,6,0.001417
RUWXEN,,38,64.970647,5,0.423497,0.544624,0.000001,7,6,0.001417
RUYQIN,,30,52.408279,5,0.389447,0.498602,0,7,6,0.001124
RUYQIN01,,30,52.409274,5,0.389447,0.498602,0,7,6,0.001124
RUYQIN02,,30,52.409455,5,0.389447,0.498602,0,7,6,0.001124
RUYQIN03,,30,52.413227,5,0.389447,0.498602,0,7,6,0.001124
RUYQOT,,30,52.400743,5,0.389447,0.498602,0,7,6,0.001124
RUYTIQ,,32,55.628717,5,0.397436,0.509355,0,7,6,0.001182
RUYTOW,,31,54.022751,5,0.390428,0.501828,0,7,6,0.001151
RUYTUC,,30,52.40344,5,0.389447,0.498602,0,7,6,0.001124
RUYVEO,,2,3.254668,6,0.320911,0.362043,0,7,6,0.000081
SEQWIW,,51,87.828144,5,0.469697,0.601935,0.000022,7,6,0.001811
TULGEO,,10,16.472829,5,0.380835,0.440538,0.000003,7,6,0.000351
UHISIO,,7,12.049791,6,0.358796,0.420968,0.000001,7,6,0.000255
WIQTUN,,26,42.607685,5,0.399485,0.497849,0,7,6,0.001019
WOJYEB,,53,90.655042,5,0.437853,0.591398,0.000002,7,6,0.001909
YENKAG,,27,46.449362,5,0.393401,0.494301,0.000001,7,6,0.001019
YUMFUJ,,52,89.007716,5,0.43662,0.588172,0.000002,7,6,0.00188
AFOVEX,,38,67.0216,4,0.547771,0.680233,0.000001,27,23,0.001287
ALUJIB,,54,93.780082,4,0.656489,0.792636,0.000002,27,23,0.001741
ALUKIC,,28,47.803035,5,0.483146,0.607364,0,27,23,0.000988
ALULEZ,,28,47.815248,5,0.483146,0.607364,0,27,23,0.000988
ALULID,,29,49.422501,5,0.488636,0.615116,0,27,23,0.001025
AWOFOI,,44,74.819955,4,0.618705,0.736434,0.000005,27,23,0.00143
BUPVIT,,55,95.696011,4,0.661538,0.79845,0.000003,27,23,0.00177
BUVHEH,,56,97.492751,4,0.666667,0.804264,0.000003,27,23,0.001797
CELDAA,,54,94.025368,4,0.656489,0.792636,0.000002,27,23,0.001741
ELIJOZ,,28,46.461063,5,0.49711,0.615116,0.000001,27,23,0.000971
FOFCIO,,32,55.509028,5,0.508876,0.638372,0,27,23,0.001123
FOFCOU,,32,55.504685,5,0.508876,0.638372,0,27,23,0.001123
FOFCUA,,32,55.495829,5,0.508876,0.638372,0,27,23,0.001123
FOFDAH,,32,55.64132,5,0.508876,0.638372,0,27,23,0.001123
GEHDAB,,23,37.601653,4,0.502924,0.593023,0.000001,27,23,0.000787
GOBXAY,,56,97.423995,4,0.666667,0.804264,0.000003,27,23,0.001797
HAWGEU,,10,16.740174,5,0.419512,0.488953,0,27,23,0.000376
ILAXOK,,34,56.838131,5,0.540881,0.665504,0.000002,27,23,0.001151
JALLOA,,49,83.105011,4,0.641791,0.765504,0.000006,27,23,0.001589
JIYTAP,,27,46.122571,5,0.457447,0.587791,0,27,23,0.000947
LUCDIW,,37,62.095295,5,0.558442,0.686822,0.000001,27,23,0.001261
LUWMIB,,38,65.411683,5,0.527607,0.673256,0,27,23,0.001294
PIQMOT,,23,40.014649,5,0.447917,0.564535,0,27,23,0.000822
PIQMUZ,,23,40.027466,5,0.447917,0.564535,0,27,23,0.000822
QAMVEH,,32,56.119905,5,0.508876,0.638372,0,27,23,0.001124
QAMVEH01,,32,56.117489,5,0.508876,0.638372,0,27,23,0.001124
QOHYET,,35,58.594105,5,0.551282,0.675194,0.000001,27,23,0.001202
RAWFAZ,,9,14.69381,5,0.419512,0.485078,0.000001,27,23,0.00034
RUYVAK,,26,44.441625,5,0.477778,0.595736,0,27,23,0.000931
SEQWOC,,38,67.00498,4,0.547771,0.680233,0.000001,27,23,0.001287
SOJGOO,,12,19.88563,5,0.423645,0.500581,0,27,23,0.000444
TEPWIX,,54,94.092686,4,0.656489,0.792636,0.000002,27,23,0.001741
TULGIS,,10,16.950531,4,0.457447,0.511628,0.000003,27,23,0.000376
UZIJUJ,,22,36.356933,5,0.480447,0.580233,0,27,23,0.000801
VOPCEK,,12,20.405595,5,0.423645,0.500581,0,27,23,0.000434
VOPCIO,,12,20.385243,5,0.423645,0.500581,0,27,23,0.000434
WOJZAY,,38,65.437335,5,0.527607,0.673256,0,27,23,0.001294
WUDTIA,,8,13.480516,5,0.415459,0.477326,0,27,23,0.000316
ZEBMAW,,30,50.366001,4,0.505882,0.625969,0,27,23,0.00105
BIRCAJ,,18,30.162052,6,0.411917,0.484801,0,20,14,0.000818
PORLAL,,6,9.757479,6,0.365517,0.411635,0,20,14,0.000232
AFOVOH,,40,68.858946,5,0.469091,0.597804,0.000004,28,24,0.001355
ALUJOH,,61,104.43334,4,0.570796,0.702842,0.00001,28,24,0.001973
AMIXOK,,61,104.664016,4,0.563319,0.699612,0.000008,28,24,0.001976
AVAQAP,,60,103.31424,4,0.56087,0.695736,0.000008,28,24,0.001944
BIDHIG,,12,20.306791,5,0.388554,0.452455,0,28,24,0.000428
DOJXUW,,39,65.316018,5,0.477778,0.599742,0.000004,28,24,0.001329
EDEPEK,,17,29.127021,5,0.408228,0.485401,0.000001,28,24,0.00058
ELIKEQ,,36,59.940152,5,0.443299,0.566796,0.000001,28,24,0.00123
FOCREW,,31,53.196124,5,0.437288,0.548708,0,28,24,0.001102
FOCYUT,,30,51.448467,5,0.435811,0.544832,0,28,24,0.001071
FOCZAA,,30,51.441275,5,0.435811,0.544832,0,28,24,0.001071
FOCZEE,,30,51.459612,5,0.435811,0.544832,0,28,24,0.001071
FOKYIP,,45,76.253354,5,0.460714,0.604264,0.000002,28,24,0.001506
HAVKOG,,36,60.478501,5,0.477778,0.591085,0.000002,28,24,0.001249
HAVKUM,,36,60.87336,5,0.470803,0.587209,0.000001,28,24,0.001257
HAXYIQ,,18,30.725073,5,0.409524,0.489276,0.000001,28,24,0.000611
HIHFUB,,25,41.820297,5,0.420195,0.518346,0,28,24,0.000883
HUKZOE,,7,11.491509,5,0.378299,0.427907,0,28,24,0.000279
JEJWOL,,23,38.605521,5,0.412141,0.505426,0,28,24,0.000837
KAVJEX,,24,40.022543,5,0.441781,0.531654,0.000002,28,24,0.000848
KAVJEX01,,24,40.02275,5,0.441781,0.531654,0.000002,28,24,0.000848
LIXCIG,,22,36.992263,5,0.412141,0.502842,0.000001,28,24,0.000781
MITQEM,,17,29.082754,5,0.408228,0.485401,0.000001,28,24,0.00058
NUTYOS,,23,38.253434,5,0.420195,0.512532,0.000001,28,24,0.000828
OBODEQ,,58,99.06301,5,0.518072,0.675969,0.000006,28,24,0.001873
PAPKUP,,8,13.680579,6,0.329923,0.392377,0.000008,28,24,0.000237
QOHZIX,,7,11.610216,5,0.378299,0.427907,0,28,24,0.000279
SADLEQ,,58,98.859176,5,0.518072,0.675969,0.000005,28,24,0.001877
SADLOA,,57,97.195405,5,0.516,0.672093,0.000005,28,24,0.001845
SEQXAP,,40,68.8696,5,0.469091,0.597804,0.000004,28,24,0.001355
SEVWEV,,29,48.550219,4,0.476015,0.562661,0.000004,28,24,0.00101
UKAPUS,,22,36.844091,5,0.404389,0.49509,0,28,24,0.000771
VETVAS,,7,11.49101,5,0.378299,0.427907,0,28,24,0.000279
VITYOO,,33,56.108142,5,0.459075,0.570672,0.000001,28,24,0.001155
VODBIA,,41,68.764751,5,0.513944,0.620413,0.000007,28,24,0.001389
VODQIP,,19,31.720815,5,0.395706,0.478295,0,28,24,0.000685
VUKSUR,,25,42.512775,5,0.416129,0.51447,0,28,24,0.000903
VUWSAJ,,36,60.859518,5,0.470803,0.587209,0.000001,28,24,0.001257
WAYKAK,,40,68.905552,5,0.469091,0.597804,0.000004,28,24,0.001355
YEMRIU,,12,19.844189,5,0.386228,0.449871,0,28,24,0.000452
ZEDVOV,,59,101.61573,4,0.558442,0.69186,0.000007,28,24,0.001913
AFOWOK,,16,26.495223,9,0.33356,0.37974,0.000033,16,11,0.004069
VAQLAC,,3,5.537249,10,0.255336,0.274412,0.000005,16,11,0.000092
VAQLEG,,4,7.139654,10,0.263356,0.284767,0.000008,16,11,0.000119
AFOYAW,,27,46.007173,10,0.303924,0.344017,0.000045,3,2,0.002868
AFOYIE,,25,42.69733,10,0.302682,0.341584,0.000035,3,2,0.002305
KAMXUU,,55,93.342597,9,0.362164,0.415279,0.000008,3,2,0.01302
KUKPOX,,65,109.47249,9,0.365854,0.422044,0.000011,3,2,0.016568
